Seat,Candidate,Party,Raised,Spent,Percent,Votes,Winner,Incumbent
TX04,Patrick Fallon ,gop,"$257,174","$95,065",75.4,"253,837",Y,N
TX05,Lance Gooden ,gop,"$1,610,327","$1,311,983",62,"173,836",Y,Y
TX05,Carolyn Salter ,dem,"$317,848","$289,112",35.9,"100,743",N,N
TX06,Ron Wright ,gop,"$912,134","$907,693",52.8,"179,507",Y,Y
TX06,Stephen Daniel ,dem,"$680,402","$677,568",44,"149,530",N,N
TX07,Lizzie Fletcher ,dem,"$6,265,165","$6,246,136",50.8,"159,529",Y,Y
TX07,Wesley Hunt ,gop,"$7,524,064","$7,300,122",47.5,"149,054",N,N
TX08,Kevin Brady ,gop,"$3,570,477","$3,190,447",72.5,"277,327",Y,Y
TX08,Elizabeth Hernandez ,dem,"$17,227","$14,981",25.5,"97,409",N,N
TX09,Al Green ,dem,"$460,332","$486,155",75.5,"172,938",Y,Y
TX09,Johnny Teague ,gop,"$89,965","$88,366",21.6,"49,575",N,N
TX10,Michael McCaul ,gop,"$3,856,477","$3,910,930",52.5,"217,216",Y,Y
TX10,Mike Siegel ,dem,"$2,873,926","$2,829,765",45.3,"187,686",N,N
TX11,August Pfluger ,gop,"$2,578,540","$1,984,134",79.7,"232,568",Y,N
TX11,Jon Mark Hogg ,dem,"$137,730","$135,141",18.3,"53,394",N,N
TX12,Kay Granger ,gop,"$3,161,288","$3,271,815",63.7,"233,853",Y,Y
TX12,Lisa Welch ,dem,"$98,465","$98,475",33,"121,250",N,N
TX13,Ronny Jackson ,gop,"$2,128,271","$1,741,132",79.4,"217,124",Y,N
TX13,Gus Trujillo ,dem,"$22,826","$18,820",18.5,"50,477",N,N
TX14,Randy Weber ,gop,"$936,202","$924,659",61.6,"190,541",Y,Y
TX14,Adrienne Bell ,dem,"$244,754","$240,934",38.4,"118,574",N,N
TX15,Vicente Gonzalez ,dem,"$1,008,381","$657,500",50.5,"115,605",Y,Y
TX16,Veronica Escobar ,dem,"$1,135,549","$1,087,693",64.7,"154,108",Y,Y
TX16,Irene Armendariz-Jackson ,gop,"$168,997","$153,671",35.3,"84,006",N,N
TX17,Pete Sessions ,gop,"$1,447,958","$1,658,637",55.9,"171,390",Y,N
TX17,Rick Kennedy ,dem,"$200,668","$202,096",40.9,"125,565",N,N
TX18,Sheila Jackson Lee ,dem,"$924,480","$838,414",73.3,"180,952",Y,Y
TX18,Wendell Champion ,gop,"$305,645","$271,278",23.5,"58,033",N,N
TX19,Jodey Arrington ,gop,"$2,497,184","$1,932,700",74.8,"198,198",Y,Y
TX19,Tom Watson ,dem,"$49,405","$60,806",22.9,"60,583",N,N
TX20,Joaquin Castro ,dem,"$674,061","$686,934",64.7,"175,078",Y,Y
TX20,Mauro Garza ,gop,"$263,293","$240,930",33.1,"89,628",N,N
TX21,Chip Roy ,gop,"$5,005,639","$4,679,362",52,"235,740",Y,Y
TX21,Wendy Davis ,dem,"$10,263,486","$10,201,874",45.4,"205,780",N,N
TX22,Troy Nehls ,gop,"$1,806,655","$1,787,448",51.5,"210,259",Y,N
TX22,Sri Kulkarni ,dem,"$5,639,061","$5,630,098",44.6,"181,998",N,N
TX23,Tony Gonzales ,gop,"$2,797,133","$2,764,108",50.6,"149,395",Y,N
TX23,Gina Ortiz Jones ,dem,"$6,755,222","$6,842,440",46.6,"137,693",N,N
TX24,Beth Van Duyne ,gop,"$3,410,852","$3,342,442",48.8,"167,910",Y,N
TX24,Candace Valenzuela ,dem,"$4,886,999","$4,875,031",47.5,"163,326",N,N
TX25,Roger Williams ,gop,"$2,435,121","$3,347,267",55.9,"220,088",Y,Y
TX25,Julie Oliver ,dem,"$2,190,347","$2,176,319",42.1,"165,697",N,N
TX26,Michael Burgess ,gop,"$1,806,588","$2,081,391",60.6,"261,963",Y,Y
TX26,Carol Iannuzzi ,dem,"$95,937","$95,937",37.3,"161,009",N,N
TX27,Michael Cloud ,gop,"$1,014,427","$829,748",63.1,"172,305",Y,Y
TX27,Ricardo De La Fuente ,dem,"$312,096","$312,096",34.9,"95,466",N,N
TX28,Henry Cuellar ,dem,"$2,655,317","$3,650,848",58.3,"137,494",Y,Y
TX28,Sandra Whitten ,gop,"$24,760","$27,354",39,"91,925",N,N
TX29,Sylvia Garcia ,dem,"$818,984","$758,382",71.1,"111,305",Y,Y
TX29,Jaimy Blanco ,gop,"$4,378",$0,27.4,"42,840",N,N
TX30,Demetrick Pennie ,gop,"$311,109","$305,446",18.4,"48,685",N,N
TX31,John Carter ,gop,"$2,160,187","$2,214,487",53.5,"212,695",Y,Y
TX31,Donna Imam ,dem,"$1,035,222","$1,035,272",44.3,"176,293",N,N
TX32,Colin Allred ,dem,"$5,667,725","$5,611,747",51.9,"178,542",Y,Y
TX32,Genevieve Collins ,gop,"$5,923,081","$5,915,256",45.9,"157,867",N,N
TX33,Marc Veasey ,dem,"$1,621,929","$1,613,446",66.8,"105,317",Y,Y
TX33,Fabian Cordova Vasquez ,gop,"$36,692","$25,585",25.2,"39,638",N,N
TX34,Filemon Vela ,dem,"$983,026","$1,024,180",55.4,"111,439",Y,Y
TX34,Rey Gonzalez ,gop,"$37,118","$37,446",41.8,"84,119",N,N
TX35,Lloyd Doggett ,dem,"$1,336,576","$424,804",65.4,"176,373",Y,Y
TX35,Jennifer Sharon ,gop,"$19,011","$14,442",29.9,"80,795",N,N
TX36,Brian Babin ,gop,"$1,345,351","$1,297,185",73.6,"222,712",Y,Y
TX36,Brandon Rashad Lewis ,dem,"$21,714","$12,278",24.3,"73,418",N,N
UT01,Blake Moore ,gop,"$844,377","$816,015",69.6,"237,988",Y,N
UT01,Darren Parry ,dem,"$41,218","$40,904",30.4,"104,194",N,N
UT02,Chris Stewart ,gop,"$835,139","$812,462",59,"208,997",Y,Y
UT02,John Kael Weston ,dem,"$344,774","$306,872",36.6,"129,762",N,N
UT03,John Curtis ,gop,"$874,311","$687,265",68.8,"246,674",Y,Y
UT03,Devin Thorpe ,dem,"$191,412","$190,200",26.8,"96,067",N,N
UT04,Burgess Owens ,gop,"$5,129,475","$5,049,146",47.7,"179,688",Y,N
UT04,Ben McAdams ,dem,"$5,613,542","$5,555,591",46.7,"175,923",N,Y
VT01,Peter Welch ,dem,"$847,320","$865,252",67.4,"238,827",Y,Y
VA01,Rob Wittman ,gop,"$1,969,785","$2,140,375",58.2,"260,614",Y,Y
VA01,Qasim Rashid ,dem,"$1,559,108","$1,559,108",41.8,"186,923",N,N
VA02,Elaine Luria ,dem,"$6,522,276","$6,387,474",51.6,"185,733",Y,Y
VA02,Scott Taylor ,gop,"$2,452,292","$2,446,410",45.9,"165,031",N,N
VA03,Bobby Scott ,dem,"$873,126","$832,419",68.5,"233,326",Y,Y
VA03,John Collick ,gop,"$167,146","$165,080",31.5,"107,299",N,N
VA04,Donald McEachin ,dem,"$961,412","$963,788",61.7,"241,142",Y,Y
VA04,Leon Benjamin ,gop,"$545,354","$523,429",38.3,"149,625",N,N
VA05,Bob Good ,gop,"$1,373,867","$1,323,530",52.6,"210,988",Y,N
VA05,Cameron Webb ,dem,"$5,755,917","$5,750,924",47.4,"190,315",N,N
VA06,Ben Cline ,gop,"$892,955","$672,928",64.7,"246,606",Y,Y
VA06,Nicholas Betts ,dem,"$56,190","$54,205",35.3,"134,729",N,N
VA07,Abigail Spanberger ,dem,"$8,387,680","$7,852,213",50.9,"230,893",Y,Y
VA07,Nick Freitas ,gop,"$3,629,431","$3,600,108",49.1,"222,623",N,N
VA08,Don Beyer ,dem,"$1,729,482","$2,071,906",76,"301,454",Y,Y
VA08,Jeff Jordan ,gop,"$96,035","$96,035",24,"95,365",N,N
VA09,Morgan Griffith ,gop,"$873,612","$463,916",0,0,Y,Y
VA10,Jennifer Wexton ,dem,"$3,855,331","$1,772,250",56.6,"268,734",Y,Y
VA10,Aliscia Andrews ,gop,"$1,567,598","$1,413,145",43.4,"206,253",N,N
VA11,Gerry Connolly ,dem,"$1,998,592","$1,811,776",71.6,"280,725",Y,Y
VA11,Manga Anantatmula ,gop,"$282,152","$268,326",28.4,"111,380",N,N
WA01,Suzan DelBene ,dem,"$2,182,985","$1,897,162",58.6,"249,944",Y,Y
WA01,Jeffrey Beeler ,gop,"$61,970","$62,279",41.4,"176,407",N,N
WA02,Rick Larsen ,dem,"$1,275,127","$1,219,489",63.2,"255,252",Y,Y
WA02,Tim Hazelo ,gop,"$49,478","$49,322",36.8,"148,384",N,N
WA03,Jaime Herrera Beutler ,gop,"$4,566,383","$4,540,148",56.5,"235,579",Y,Y
WA03,Carolyn Long ,dem,"$4,130,540","$4,142,685",43.5,"181,347",N,N
WA04,Dan Newhouse ,gop,"$1,173,464","$991,174",66.3,"202,108",Y,Y
WA04,Doug McKinley ,dem,"$57,666","$54,227",33.7,"102,667",N,N
WA05,Cathy McMorris Rodgers ,gop,"$4,349,448","$3,432,572",61.4,"247,815",Y,Y
WA05,Dave Wilson ,dem,"$109,636","$109,636",38.6,"155,737",N,N
WA06,Derek Kilmer ,dem,"$2,524,026","$2,531,111",59.4,"247,429",Y,Y
WA06,Elizabeth Kreiselmaier ,gop,"$156,123","$145,108",40.6,"168,783",N,N
WA07,Pramila Jayapal ,dem,"$2,630,000","$1,530,626",83.2,"387,109",Y,Y
WA07,Craig Keller ,gop,"$2,904","$3,703",16.8,"78,240",N,N
WA08,Kim Schrier ,dem,"$5,422,491","$3,774,398",51.8,"213,123",Y,Y
WA08,Jesse Jensen ,gop,"$852,396","$842,269",48.2,"198,423",N,N
WA09,Adam Smith ,dem,"$1,324,761","$930,710",74.3,"258,771",Y,Y
WA09,Doug Basler ,gop,"$22,536","$18,328",25.7,"89,697",N,N
WA10,Marilyn Strickland ,dem,"$1,812,659","$1,780,633",58.1,"167,937",Y,N
WA10,Beth Doglio ,dem,"$1,477,678","$1,477,678",41.9,"121,040",N,N
WV01,David McKinley ,gop,"$1,092,609","$1,085,864",69,"180,488",Y,Y
WV01,Natalie Ms. Cline ,dem,"$81,032","$81,881",31,"81,177",N,N
WV02,Alex Mooney ,gop,"$2,155,978","$864,001",63.1,"172,195",Y,Y
WV02,Catherine Kunkel ,dem,"$641,567","$641,567",36.9,"100,799",N,N
WI01,Bryan Steil ,gop,"$3,500,849","$3,151,701",59.4,"238,271",Y,Y
WI01,Roger Polack ,dem,"$536,228","$526,431",40.6,"163,170",N,N
WI02,Mark Pocan ,dem,"$1,290,582","$1,014,628",69.7,"318,523",Y,Y
WI02,Peter Theron ,gop,"$35,753","$33,977",30.3,"138,306",N,N
WI03,Ron Kind ,dem,"$2,989,262","$4,435,403",51.3,"199,870",Y,Y
WI03,Derrick Van Orden ,gop,"$1,962,443","$1,948,639",48.7,"189,524",N,N
WI04,Gwen Moore ,dem,"$1,183,995","$1,166,739",74.7,"232,668",Y,Y
WI05,Scott Fitzgerald ,gop,"$1,155,721","$968,406",60.1,"265,434",Y,N
WI05,Tom Palzewicz ,dem,"$370,392","$371,799",39.9,"175,902",N,N
WI06,Glenn S Grothman ,gop,"$1,815,756","$1,736,659",59.3,"238,874",Y,Y
WI06,Jessica King ,dem,"$287,753","$245,788",40.7,"164,239",N,N
WI07,Tom Tiffany ,gop,"$2,637,459","$2,514,740",60.8,"252,048",Y,Y
WI07,Tricia Zunker ,dem,"$1,261,957","$1,232,690",39.2,"162,741",N,N
WI08,Mike Gallagher ,gop,"$3,202,905","$2,841,801",64.2,"268,173",Y,Y
WI08,Amanda Stuck ,dem,"$416,978","$399,916",35.8,"149,558",N,N
WY01,Liz Cheney ,gop,"$3,003,883","$3,060,167",68.7,"185,732",Y,Y
WY01,Lynnette Grey Bull ,dem,"$134,597","$132,235",24.6,"66,576",N,N
